record_type,name,value,sense,vtype,obj_coef,route_nm
objective,objective,178628.78886620275,MAX,,,
runtime_seconds,optimize_model,91.87099789999775,,,,
var,"x[0,port659,port1114,7777]",1.0,,B,-7005.238062073047,145.40717525523
var,"x[1,port1114,port155,2710]",1.0,,B,-217151.6143285533,4507.39897228903
var,y[0],1.0,,B,0.0,
var,y[1],1.0,,B,0.0,
var,"q[1,port1114,port155,2710]",82000.0,,C,6.961797574089068,
var,t[1],6.849772420725386,,C,0.0,
var,t[2],43.99115454307439,,C,0.0,
var,t[3],43.99115454307439,,C,0.0,
var,t[4],43.99115454307439,,C,0.0,
var,t_S[0],1.0097720503835415,,C,-3575.625,
var,t_S[1],31.301381752007156,,C,-3575.625,
var,t_p[1],5.840000370341844,,C,-4077.045675,
var,t_p[2],5.840000370341844,,C,-4077.045675,
var,t_load[1],5.840000370341844,,C,0.0,
var,t_disch[2],5.840000370341844,,C,0.0,
var,"k_l[2710,1]",1.0,,B,0.0,
var,"k_l[2710,2]",1.0,,B,0.0,
var,"k_l[2710,3]",1.0,,B,0.0,
var,"k_l[2710,4]",1.0,,B,0.0,
